iter	RMSE
353	570.2785918
354	570.2432754
355	570.213489
356	570.1513398
357	570.0670707
358	570.0208988
359	569.9846099
360	569.9304047
361	569.8910962
362	569.8049945
363	569.7429927
364	569.6940261
365	569.63302
366	569.5539082
367	569.5216872
368	569.4660852
369	569.4257074
370	569.4068578
371	569.3832855
372	569.3478452
373	569.2315311
374	569.1653094
375	569.1097399
376	569.0555387
377	569.0261892
378	568.9968226
379	568.8951325
380	568.8540113
381	568.8133729
382	568.7776257
383	568.7084168
384	568.6334923
385	568.5423711
386	568.458649
387	568.400899
388	568.3571042
389	568.3124359
390	568.2574037
391	568.1633294
392	568.1042324
393	568.0217501
394	567.9720012
395	567.8801146
396	567.8331837
397	567.7690989
398	567.7466687
399	567.6846635
